property_id,property_type,count_bed,property_area,area_unit,property_price,lat,long,address
1,house,5,9296,square feet,5650000,35.53390825,-80.90946565,"107 Eastham, Ct, Mooresville, NC 28117"
2,house,6,5604,square feet,3950000,35.52200744,-80.95323315,"512 Stonemarker Rd, Mooresville, NC 28117"
3,house,4,4759,square feet,3395000,35.49905647,-80.95224966,"124 Channel Point Ln, Mooresville, NC 28117"
4,house,4,4378,square feet,2500000,35.49121247,-80.90201042,"20540 Bethelwood Ln, Cornelius, NC 28031"
5,lot,0,0.695,acres,2490000,35.45636802,-80.93887242,"18047 Mollypop ln, Cornelius NC 28031"
6,house,5,7353,square feet,3825000,35.49737819,-80.91142938,"21213 Island Forest dr , Cornelius, NC 28031"
7,lot,0,0.67,acres,1999900,35.50567125,-80.89070707,"22554 John Gamble Rd, Cornelius, NC 28031"
8,house,6,9874,square feet,6985000,35.52259494,-80.93653999,"168 Broad Sound Pl, Mooresville, NC 28117"
9,house,5,7252,square feet,2350000,35.53488167,-80.92415053,"141 Jeremy Point Pl. Mooresvielle, NC 28117"
10,house,4,4106,square feet,3680000,35.47830638,-80.94111921,"19040 Brigadoon Pl. Cornelius, NC 28031"
